电站id,电站名称,货币单位,日期,预期收益,实际收益
212,隆源二厂储能电站,CNY,2025-12-07,2399.47,2146.81
212,隆源二厂储能电站,CNY,2025-12-06,2399.47,2537.68
212,隆源二厂储能电站,CNY,2025-12-05,2399.47,2505.58
212,隆源二厂储能电站,CNY,2025-12-04,2399.47,2558.78
212,隆源二厂储能电站,CNY,2025-12-03,2399.47,2473.79
212,隆源二厂储能电站,CNY,2025-12-02,2399.47,2456.42
212,隆源二厂储能电站,CNY,2025-12-01,2399.47,2540.26
212,隆源二厂储能电站,CNY,2025-11-30,1953.36,2041.99
212,隆源二厂储能电站,CNY,2025-11-29,1953.36,2092.46
212,隆源二厂储能电站,CNY,2025-11-28,1953.36,2107.7
